paper_id,title,published_date,abstract,entry_id,section_id,theme_id
1,New Heuristics for Interfacing Human Motor System using Brain Waves,2012-11-24 01:21:25,"There are many new forms of interfacing human users to machines. We persevere
here electric mechanical form of interaction between human and machine. The
emergence of brain-computer interface allows mind-to-movement systems. The
story of the Pied Piper inspired us to devise some new heuristics for
interfacing human motor system using brain waves by combining head helmet and
LumbarMotionMonitor For the simulation we use java GridGain Brain responses of
classified subjects during training indicates that Probe can be the best
stimulus to rely on in distinguishing between knowledgeable and not
knowledgeable",http://arxiv.org/abs/1211.6411v1,1,1
2,jsdp: a Java Stochastic DP Library,2022-09-20 20:20:20,"Stochastic Programming is a framework for modelling and solving problems of
decision making under uncertainty. Stochastic Dynamic Programming is a branch
of Stochastic Programming that takes a ""functional equation"" approach to the
discovery of optimal policies. By leveraging constructs - lambda expressions,
functional interfaces, collections and aggregate operators - implemented in
Java to operationalise the MapReduce framework, jsdp provides a general purpose
library for modelling and solving Stochastic Dynamic Programs.",http://arxiv.org/abs/2209.09979v3,1,1
3,"An Intelligent Approach for Negotiating between chains in Supply Chain
  Management Systems",2012-06-07 07:50:43,"Holding commercial negotiations and selecting the best supplier in supply
chain management systems are among weaknesses of producers in production
process. Therefore, applying intelligent systems may have an effective role in
increased speed and improved quality in the selections .This paper introduces a
system which tries to trade using multi-agents systems and holding negotiations
between any agents. In this system, an intelligent agent is considered for each
segment of chains which it tries to send order and receive the response with
attendance in negotiation medium and communication with other agents .This
paper introduces how to communicate between agents, characteristics of
multi-agent and standard registration medium of each agent in the environment.
JADE (Java Application Development Environment) was used for implementation and
simulation of agents cooperation.",http://arxiv.org/abs/1206.1414v1,1,1
4,"Ontology Temporal Evolution for Multi-Entity Bayesian Networks under
  Exogenous and Endogenous Semantic Updating",2010-09-10 19:44:07,"It is a challenge for any Knowledge Base reasoning to manage ubiquitous
uncertain ontology as well as uncertain updating times, while achieving
acceptable service levels at minimum computational cost. This paper proposes an
application-independent merging ontologies for any open interaction system. A
solution that uses Multi-Entity Bayesan Networks with SWRL rules, and a Java
program is presented to dynamically monitor Exogenous and Endogenous temporal
evolution on updating merging ontologies on a probabilistic framework for the
Semantic Web.",http://arxiv.org/abs/1009.2084v1,1,1
5,Human-AI Co-Creation of Worked Examples for Programming Classes,2024-02-26 01:44:24,"Worked examples (solutions to typical programming problems presented as a
source code in a certain language and are used to explain the topics from a
programming class) are among the most popular types of learning content in
programming classes. Most approaches and tools for presenting these examples to
students are based on line-by-line explanations of the example code. However,
instructors rarely have time to provide line-by-line explanations for a large
number of examples typically used in a programming class. In this paper, we
explore and assess a human-AI collaboration approach to authoring worked
examples for Java programming. We introduce an authoring system for creating
Java worked examples that generates a starting version of code explanations and
presents it to the instructor to edit if necessary.We also present a study that
assesses the quality of explanations created with this approach",http://arxiv.org/abs/2402.16235v2,1,1
6,"Comparison between CPBPV, ESC/Java, CBMC, Blast, EUREKA and Why for
  Bounded Program Verification",2008-08-11 12:55:19,"This report describes experimental results for a set of benchmarks on program
verification. It compares the capabilities of CPBVP ""Constraint Programming
framework for Bounded Program Verification"" [4] with the following frameworks:
ESC/Java, CBMC, Blast, EUREKA and Why.",http://arxiv.org/abs/0808.1508v1,1,1
7,"Universal Feature Selection Tool (UniFeat): An Open-Source Tool for
  Dimensionality Reduction",2022-11-30 09:39:31,"The Universal Feature Selection Tool (UniFeat) is an open-source tool
developed entirely in Java for performing feature selection processes in
various research areas. It provides a set of well-known and advanced feature
selection methods within its significant auxiliary tools. This allows users to
compare the performance of feature selection methods. Moreover, due to the
open-source nature of UniFeat, researchers can use and modify it in their
research, which facilitates the rapid development of new feature selection
algorithms.",http://arxiv.org/abs/2211.16846v1,1,1
8,"BoolVar/PB v1.0, a java library for translating pseudo-Boolean
  constraints into CNF formulae",2011-03-21 10:14:40,"BoolVar/PB is an open source java library dedicated to the translation of
pseudo-Boolean constraints into CNF formulae. Input constraints can be
categorized with tags. Several encoding schemes are implemented in a way that
each input constraint can be translated using one or several encoders,
according to the related tags. The library can be easily extended by adding new
encoders and / or new output formats.",http://arxiv.org/abs/1103.3954v1,1,1
9,Static Program Analysis Guided LLM Based Unit Test Generation,2025-03-07 13:09:37,"We describe a novel approach to automating unit test generation for Java
methods using large language models (LLMs). Existing LLM-based approaches rely
on sample usage(s) of the method to test (focal method) and/or provide the
entire class of the focal method as input prompt and context. The former
approach is often not viable due to the lack of sample usages, especially for
newly written focal methods. The latter approach does not scale well enough;
the bigger the complexity of the focal method and larger associated class, the
harder it is to produce adequate test code (due to factors such as exceeding
the prompt and context lengths of the underlying LLM). We show that augmenting
prompts with \emph{concise} and \emph{precise} context information obtained by
program analysis %of the focal method increases the effectiveness of generating
unit test code through LLMs. We validate our approach on a large commercial
Java project and a popular open-source Java project.",http://arxiv.org/abs/2503.05394v1,1,1
10,Mouse Simulation Using Two Coloured Tapes,2012-04-05 17:00:47,"In this paper, we present a novel approach for Human Computer Interaction
(HCI) where, we control cursor movement using a real-time camera. Current
methods involve changing mouse parts such as adding more buttons or changing
the position of the tracking ball. Instead, our method is to use a camera and
computer vision technology, such as image segmentation and gesture recognition,
to control mouse tasks (left and right clicking, double-clicking, and
scrolling) and we show how it can perform everything as current mouse devices
can. The software will be developed in JAVA language. Recognition and pose
estimation in this system are user independent and robust as we will be using
colour tapes on our finger to perform actions. The software can be used as an
intuitive input interface to applications that require multi-dimensional
control e.g. computer games etc.",http://arxiv.org/abs/1204.1277v1,1,1
11,GeoGebra Tools with Proof Capabilities,2016-03-03 19:29:08,"We report about significant enhancements of the complex algebraic geometry
theorem proving subsystem in GeoGebra for automated proofs in Euclidean
geometry, concerning the extension of numerous GeoGebra tools with proof
capabilities. As a result, a number of elementary theorems can be proven by
using GeoGebra's intuitive user interface on various computer architectures
including native Java and web based systems with JavaScript. We also provide a
test suite for benchmarking our results with 200 test cases.",http://arxiv.org/abs/1603.01228v1,1,1
